START_DATE,END_DATE,START_TIME,END_TIME,RIDE_DURATION_IN_MINS,CATEGORY,START,STOP,MILES,PURPOSE
01-01-2016,01-01-2016,21:11:00,21:17:00,6,Business,Fort Pierce,Fort Pierce,5.1,"Meal/Entertain"
02-01-2016,02-01-2016,01:25:00,01:37:00,12,Business,Fort Pierce,Fort Pierce,5,"Not Defined
"
02-01-2016,02-01-2016,20:25:00,20:38:00,13,Business,Fort Pierce,Fort Pierce,4.8,"Errand/Supplies"
05-01-2016,05-01-2016,17:31:00,17:45:00,14,Business,Fort Pierce,Fort Pierce,4.7,"Meeting"
06-01-2016,06-01-2016,14:42:00,15:49:00,67,Business,Fort Pierce,West Palm Beach,63.7,"Customer Visit"
06-01-2016,06-01-2016,17:15:00,17:19:00,4,Business,West Palm Beach,West Palm Beach,4.3,"Meal/Entertain"
06-01-2016,06-01-2016,17:30:00,17:35:00,5,Business,West Palm Beach,Palm Beach,7.1,"Meeting"
07-01-2016,07-01-2016,13:27:00,13:33:00,6,Business,Cary,Cary,0.8,"Meeting"
10-01-2016,10-01-2016,08:05:00,08:25:00,20,Business,Cary,Morrisville,8.3,"Meeting"
10-01-2016,10-01-2016,12:17:00,12:44:00,27,Business,Jamaica,New York,16.5,"Customer Visit"
10-01-2016,10-01-2016,15:08:00,15:51:00,43,Business,New York,Queens,10.8,"Meeting"
10-01-2016,10-01-2016,18:18:00,18:53:00,35,Business,Elmhurst,New York,7.5,"Meeting"
10-01-2016,10-01-2016,19:12:00,19:32:00,20,Business,Midtown,East Harlem,6.2,"Meeting"
11-01-2016,11-01-2016,08:55:00,09:21:00,26,Business,East Harlem,NoMad,6.4,"Temporary Site"
11-01-2016,11-01-2016,11:56:00,12:03:00,7,Business,Flatiron District,Midtown,1.6,"Errand/Supplies"
11-01-2016,11-01-2016,13:32:00,13:46:00,14,Business,Midtown,Midtown East,1.7,"Meal/Entertain"
11-01-2016,11-01-2016,14:30:00,14:43:00,13,Business,Midtown East,Midtown,1.9,"Meal/Entertain"
12-01-2016,12-01-2016,12:33:00,12:49:00,16,Business,Midtown,Hudson Square,1.9,"Meal/Entertain"
12-01-2016,12-01-2016,12:53:00,13:09:00,16,Business,Hudson Square,Lower Manhattan,4,"Meal/Entertain"
12-01-2016,12-01-2016,14:42:00,14:56:00,14,Business,Lower Manhattan,Hudson Square,1.8,"Errand/Supplies"
12-01-2016,12-01-2016,15:13:00,15:28:00,15,Business,Hudson Square,Hell's Kitchen,2.4,"Customer Visit"
12-01-2016,12-01-2016,15:42:00,15:54:00,12,Business,Hell's Kitchen,Midtown,2,"Errand/Supplies"
12-01-2016,12-01-2016,16:02:00,17:00:00,58,Business,New York,Queens County,15.1,"Meeting"
13-01-2016,13-01-2016,13:54:00,14:07:00,13,Business,Downtown,Gulfton,11.2,"Meeting"
13-01-2016,13-01-2016,15:00:00,15:28:00,28,Business,Gulfton,Downtown,11.8,"Meeting"
14-01-2016,14-01-2016,16:29:00,17:05:00,36,Business,Houston,Houston,21.9,"Customer Visit"
14-01-2016,14-01-2016,21:39:00,21:45:00,6,Business,Eagan Park,Jamestown Court,3.9,"Errand/Supplies"
15-01-2016,15-01-2016,00:41:00,01:01:00,20,Business,Morrisville,Cary,8,"Errand/Supplies"
15-01-2016,15-01-2016,11:43:00,12:03:00,20,Business,Cary,Durham,10.4,"Meal/Entertain"
15-01-2016,15-01-2016,13:26:00,13:44:00,18,Business,Durham,Cary,10.4,"Meal/Entertain"
